timestep,dyad_idx,agent_name,agent_type,ii_edge,aa_edge,observation_depth,investor_wealth,investor_cumulative,dyad_investor_cumulative,investment_desired,investment,investment_multiplied,repayment,repayment_pct,investor_reward,agent_reward,agent_cumulative,episode
2,0,a1,max,0,0,4,-5.0,-30.0,-25.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,75.0,8
2,1,a2,fair,0,0,4,13.75,-31.25,-6.25,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,26.25,8
3,0,a1,max,0,0,4,-10.0,-36.25,-30.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,90.0,8
3,1,a2,fair,0,0,4,13.75,-36.25,-6.25,0.0,0.0,0.0,0.0,0.25,0.0,0.0,26.25,8
4,0,a1,max,0,0,4,-15.0,-41.25,-35.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,105.0,8
4,1,a2,fair,0,0,4,12.5,-42.5,-7.5,5.0,5.0,15.0,3.75,0.25,-1.25,11.25,37.5,8
5,0,a1,max,0,0,4,-15.0,-42.5,-35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,8
5,1,a2,fair,0,0,4,25.0,-30.0,5.0,10.0,10.0,30.0,22.5,0.75,12.5,7.5,45.0,8
6,0,a1,max,0,0,4,-20.0,-35.0,-40.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,120.0,8
6,1,a2,fair,0,0,4,31.25,-28.75,11.25,5.0,5.0,15.0,11.25,0.75,6.25,3.75,48.75,8
7,0,a1,max,0,0,4,-30.0,-38.75,-50.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,150.0,8
7,1,a2,fair,0,0,4,31.25,-38.75,11.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,48.75,8
8,0,a1,max,0,0,4,-40.0,-48.75,-60.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,180.0,8
8,1,a2,fair,0,0,4,31.25,-48.75,11.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,48.75,8
9,0,a1,max,0,0,4,-50.0,-58.75,-70.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,210.0,8
9,1,a2,fair,0,0,4,37.5,-52.5,17.5,5.0,5.0,15.0,11.25,0.75,6.25,3.75,52.5,8
0,0,a1,max,0,0,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,9
0,1,a2,fair,0,0,4,0.0,-30.0,-20.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,60.0,9
1,0,a1,max,0,0,4,-10.0,-50.0,-30.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,90.0,9
1,1,a2,fair,0,0,4,-15.0,-65.0,-35.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,105.0,9
2,0,a1,max,0,0,4,-30.0,-85.0,-50.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,150.0,9
2,1,a2,fair,0,0,4,-35.0,-105.0,-55.0,20.0,20.0,60.0,0.0,0.0,-20.0,60.0,165.0,9
3,0,a1,max,0,0,4,-30.0,-105.0,-50.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,150.0,9
3,1,a2,fair,0,0,4,-35.0,-105.0,-55.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,165.0,9
4,0,a1,max,0,0,4,-35.0,-110.0,-55.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,165.0,9
4,1,a2,fair,0,0,4,-35.0,-110.0,-55.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,165.0,9
5,0,a1,max,0,0,4,-45.0,-120.0,-65.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,195.0,9
5,1,a2,fair,0,0,4,-35.0,-120.0,-55.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,165.0,9
6,0,a1,max,0,0,4,-55.0,-130.0,-75.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,225.0,9
6,1,a2,fair,0,0,4,-28.75,-123.75,-48.75,5.0,5.0,15.0,11.25,0.75,6.25,3.75,168.75,9
7,0,a1,max,0,0,4,-65.0,-133.75,-85.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,255.0,9
7,1,a2,fair,0,0,4,-3.75,-108.75,-23.75,20.0,20.0,60.0,45.0,0.75,25.0,15.0,183.75,9
8,0,a1,max,0,0,4,-75.0,-118.75,-95.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,285.0,9
8,1,a2,fair,0,0,4,21.25,-93.75,1.25,20.0,20.0,60.0,45.0,0.75,25.0,15.0,198.75,9
9,0,a1,max,0,0,4,-80.0,-98.75,-100.0,5.0,5.0,15.0,0.0,0.0,-5.0,15.0,300.0,9
9,1,a2,fair,0,0,4,46.25,-73.75,26.25,20.0,20.0,60.0,45.0,0.75,25.0,15.0,213.75,9
0,0,a1,max,0,0,4,10.0,-10.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,10
0,1,a2,fair,0,0,4,10.0,-20.0,-10.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,30.0,10
1,0,a1,max,0,0,4,0.0,-30.0,-20.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,60.0,10
1,1,a2,fair,0,0,4,10.0,-30.0,-10.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,30.0,10
2,0,a1,max,0,0,4,-15.0,-45.0,-35.0,15.0,15.0,45.0,0.0,0.0,-15.0,45.0,105.0,10
2,1,a2,fair,0,0,4,0.0,-55.0,-20.0,10.0,10.0,30.0,0.0,0.0,-10.0,30.0,60.0,10
